Country,Count
United States,2818
"United Kingdom, United States",75
"United States, Canada",73
"United States, United Kingdom",47
"Canada, United States",45
"United States, Germany",17
"United States, France",16
"United States, Japan",16
"United States, Mexico",14
"Mexico, United States",13
"Australia, United States",13
"Germany, United States",13
"Japan, United States",12
"United States, Australia",11
"France, United States",10
"India, United States",10
"United States, India",9
"United States, China",8
"United Kingdom, Canada, United States",8
"United States, France, Japan",7
"South Korea, United States",6
"United States, Czech Republic",5
"United States, Italy",5
"United States, New Zealand",5
"Israel, United States",5
"United Kingdom, France, United States",4
"Canada, United States, United Kingdom",4
"United States, United Kingdom, Australia",4
"United States, United Kingdom, France",4
"South Africa, United States",4
"Hong Kong, United States",4
"United Kingdom, United States, Spain, Germany, Greece, Canada",4
"United States, Bulgaria",4
"United States, Russia",4
"United States, Spain",4
"Italy, United States",4
"Poland, United States",4
"Bulgaria, United States",3
"United States, Ireland",3
"United Kingdom, Japan, United States",3
"United States, Chile",3
"Denmark, United States",3
"United States, Hong Kong",3
"United States, South Africa",3
"United States, Germany, Canada",3
"United States, United Arab Emirates",3
"China, Canada, United States",3
"Sweden, United States",3
"United States, Colombia",3
"United States, Sweden",3
"United Kingdom, United States, Australia",3
"Pakistan, United States",2
"United States, Greece",2
"China, United States",2
"Hong Kong, China, United States",2
"Serbia, United States",2
"United Kingdom, France, Germany, United States",2
"Thailand, United States",2
"United Kingdom, India, United States",2
"Ireland, United Kingdom, United States",2
"United States, Japan, Canada",2
"United States, Nigeria",2
"Turkey, United States",2
"Norway, Iceland, United States",2
"Singapore, United States",2
"Colombia, Mexico, United States",2
"Czech Republic, United States",2
"United States, Argentina",2
"United Arab Emirates, United States",2
"United States, South Korea, China",2
"United Kingdom, Germany, United States",2
"United States, United Kingdom, Canada",2
"New Zealand, United States",2
"United States, South Korea",2
"Canada, United Kingdom, United States",2
"France, United Kingdom, United States",2
"United Kingdom, United States, France",2
"France, Japan, United States",2
"United States, China, Hong Kong",2
"United States, Thailand",2
"Canada, United States, France",2
"United States, United Kingdom, Germany",2
"United States, Canada, France",1
"Canada, United States, United Kingdom, France, Luxembourg",1
"Ireland, United States, France",1
"Germany, United States, Canada",1
"United Kingdom, Germany, Canada, United States",1
"United States, France, Canada, Lebanon, Qatar",1
"Netherlands, Belgium, United Kingdom, United States",1
"France, Belgium, China, United States",1
"United Arab Emirates, United States, United Kingdom",1
